DATE;NTOT;NLOW;WDIR;WSPD;WMAX;PP;T;WVP;HUM;PST;PSEA
1961-01-01;9.9;9.9;3;180;M;1.1;-1;5.3;M;1020.633333;M
1961-01-02;6.6;6.6;1;120;M;0;-3.9;4.4;M;1024.233333;M
1961-01-03;9.9;9.9;1.7;105;M;1.1;-3.2;4.4;M;1021.933333;M
1961-01-04;9.9;9.9;2.3;164;M;0.2;-0.5;5.7;M;1020.1;M
1961-01-05;9.9;9.9;2.8;180;M;0;1.7;6.7;M;1022.125;M
1961-01-06;9.9;9.9;6.3;180;M;0.6;-0.1;5.8;M;1021.5;M
1961-01-07;9.9;9.9;3;59;M;0.4;-1;5.4;M;1023.566667;M
1961-01-08;9.9;9.9;2.3;82;M;5.3;-2.2;4.8;M;1018.266667;M
1961-01-09;9.9;9.9;4.3;127;M;0.5;-2.1;4.9;M;1018.833333;M
1961-01-10;9.9;9.9;3.3;203;M;0.1;-1.4;5.2;M;1021.3;M
1961-01-11;9.9;9.9;2;163;M;4.8;-0.8;5.6;M;1025.175;M
1961-01-12;9.9;9.9;3;180;M;2.6;0;6.1;M;1022.4;M
1961-01-13;9.9;9.9;0.7;105;M;0;-1.2;5.2;M;1023.166667;M
1961-01-14;9.9;9.9;4.7;89;M;0.2;-1.7;5.1;M;1020.466667;M
1961-01-15;9.9;9.9;5;187;M;0.2;-1.1;5.2;M;1016.2;M
1961-01-16;9.9;9.9;7;225;M;3.3;-3.8;4.4;M;1004.466667;M
1961-01-17;9.9;9.9;11;360;M;0.2;-16.2;1.4;M;1020.75;M
1961-01-18;7.6;7.6;6.3;360;M;0;-21.3;0.9;M;1033.5;M
1961-01-19;0;0;3.3;360;M;0;-22.5;0.8;M;1037.033333;M
1961-01-20;6.6;6.6;1;360;M;0.1;-21.2;0.9;M;1034.966667;M
1961-01-21;9.9;9.9;0.7;240;M;0.2;-14.9;1.7;M;1027.366667;M
1961-01-22;4;3.5;1.7;278;M;0;-16.1;1.4;M;1020.233333;M
1961-01-23;6.6;6.6;4.3;270;M;0.6;-14.8;1.6;M;1011.733333;M
1961-01-24;6.6;6.6;2.7;308;M;1.2;-14.4;1.8;M;1006.666667;M
1961-01-25;3.9;3.5;1.7;165;M;0;-20.9;1;M;1011.833333;M
1961-01-26;3.3;2.5;1.3;0;M;0.2;-20.1;1.1;M;1012.533333;M
1961-01-27;7.9;7.9;3;285;M;0.2;-10.1;2.4;M;1017.766667;M
1961-01-28;9.9;9.9;4;293;M;0.1;-4.8;3.3;M;1018.7;M
1961-01-29;9.9;9.9;4.3;195;M;0;-4.9;3.4;M;1015.766667;M
1961-01-30;6.6;6.6;5.7;0;M;0;-5.3;3.4;M;1011.033333;M
1961-01-31;9.9;9.9;8;67;M;0.4;-0.1;5.1;M;999.625;M
1961-02-01;9.9;9.9;3;225;M;7.9;0;6;M;1000.233333;M
1961-02-02;9.9;9.9;4;90;M;0.2;-0.4;5.5;M;1008.65;M
1961-02-03;9.9;9.9;6.7;173;M;0.1;-0.2;5.4;M;1006.9;M
1961-02-04;9.9;9.9;5.8;79;M;0.7;0;5;M;1002.775;M
1961-02-05;9.9;9.9;0.7;105;M;2.4;-3.1;4.4;M;1007.733333;M
1961-02-06;4;3.5;0.7;105;M;0;-8.1;2.7;M;1017.633333;M
1961-02-07;6.6;6.1;0;0;M;0;-6.3;2.9;M;1023.133333;M
1961-02-08;9.9;9.9;0.7;105;M;0;-5.5;3.5;M;1018.5;M
1961-02-09;9.9;9.9;0.3;105;M;0;-6.8;3.4;M;1019.7;M
1961-02-10;9.8;9.8;0.3;90;M;0;-7.5;3;M;1020.6;M
1961-02-11;9.8;9.8;3.7;150;M;0;-5.5;3.5;M;1020.8;M
1961-02-12;9.9;9.9;6.3;195;M;0;-5.6;3.5;M;1016.133333;M
1961-02-13;9.9;9.9;4.3;0;M;1.3;-5.4;3.7;M;1016.1;M
1961-02-14;9.9;9.9;1.7;323;M;0.1;-4.3;4.1;M;1022.266667;M
1961-02-15;9.9;9.9;4.7;89;M;0.4;-3.3;4.6;M;1016.5;M
1961-02-16;0.3;0;7.7;338;M;1.2;-3.9;3.4;M;1018.7;M
1961-02-17;9.9;9.9;2;315;M;0;-4.7;3.6;M;1022.333333;M
1961-02-18;9.9;9.9;5.5;270;M;0;0.7;6.2;M;1019;M
1961-02-19;9.9;9.9;4.3;225;M;0;1.3;6.1;M;1016;M
1961-02-20;9.6;9.6;1.7;135;M;0;-0.9;5;M;1024.7;M
1961-02-21;9.9;9.9;8.5;282;M;0;0.7;6;M;1022.2;M
1961-02-22;9.9;9.9;7.5;310;M;0;1.5;5.1;M;1023.7;M
1961-02-23;5.7;5.3;6.5;304;M;0.1;0.1;4.9;M;1023.95;M
1961-02-24;7.6;7.6;6.3;240;M;0.1;-1.8;4.6;M;1026.366667;M
1961-02-25;1.7;1.6;1;112;M;0;-10.9;2.3;M;1039.6;M
1961-02-26;5;4.6;2;180;M;0;-5.9;2.9;M;1042.833333;M
